Merchant,Vintage Index,FICO Bucket,New Accounts,growth_rate_applied
Merchant 7,15,Very Good (740-799),10480.076194973948,0.04854761656142955
Merchant 7,15,Good (670-739),6757.351843043222,0.04854761656142955
Merchant 7,15,Fair (580-669),3710.9643499374083,0.04854761656142955
Merchant 7,15,Poor (300-579),1223.0402073048929,0.04854761656142955
Merchant 7,16,Exceptional (800-850),9092.477808915191,0.04854761656142955
Merchant 7,16,Very Good (740-799),10988.858915622108,0.04854761656142955
Merchant 7,16,Good (670-739),7085.405169289954,0.04854761656142955
Merchant 7,16,Fair (580-669),3891.1228242713046,0.04854761656142955
Merchant 7,16,Poor (300-579),1282.4158943283421,0.04854761656142955
Merchant 7,17,Exceptional (800-850),9533.895935175715,0.04854761656142955
Merchant 7,17,Very Good (740-799),11522.341824705378,0.04854761656142955
Merchant 7,17,Good (670-739),7429.384702631015,0.04854761656142955
Merchant 7,17,Fair (580-669),4080.027563137455,0.04854761656142955
Merchant 7,17,Poor (300-579),1344.6741294384774,0.04854761656142955
Merchant 7,18,Exceptional (800-850),9996.743859373199,0.04854761656142955
Merchant 7,18,Very Good (740-799),12081.724057500898,0.04854761656142955
Merchant 7,18,Good (670-739),7790.063622461696,0.04854761656142955
Merchant 7,18,Fair (580-669),4278.103176832716,0.04854761656142955
Merchant 7,18,Poor (300-579),1409.9548534745306,0.04854761656142955
Merchant 7,19,Exceptional (800-850),10482.061947120874,0.04854761656142955
Merchant 7,19,Very Good (740-799),12668.262964445452,0.04854761656142955
Merchant 7,19,Good (670-739),8168.252644194107,0.04854761656142955
Merchant 7,19,Fair (580-669),4485.794889471825,0.04854761656142955
Merchant 7,19,Poor (300-579),1478.404801069939,0.04854761656142955
Merchant 7,20,Exceptional (800-850),10990.941071302848,0.04854761656142955
Merchant 7,20,Very Good (740-799),13283.276937342707,0.04854761656142955
Merchant 7,20,Good (670-739),8564.801841541326,0.04854761656142955
Merchant 7,20,Fair (580-669),4703.569539739123,0.04854761656142955
Merchant 7,20,Poor (300-579),1550.1778304748586,0.04854761656142955
Merchant 7,21,Exceptional (800-850),11524.525064081728,0.04854761656142955
Merchant 7,21,Very Good (740-799),13928.148372776102,0.04854761656142955
Merchant 7,21,Good (670-739),8980.6025572691,0.04854761656142955
Merchant 7,21,Fair (580-669),4931.9166302243975,0.04854761656142955
Merchant 7,21,Poor (300-579),1625.435269390781,0.04854761656142955
Merchant 8,14,Exceptional (800-850),1338.4905528026868,0.06779168982398713
Merchant 8,14,Very Good (740-799),2203.453375511491,0.06779168982398713
Merchant 8,14,Good (670-739),3359.8178782780687,0.06779168982398713
Merchant 8,14,Fair (580-669),2882.21269930278,0.06779168982398713
Merchant 8,14,Poor (300-579),1363.7707358674004,0.06779168982398713
Merchant 8,15,Exceptional (800-850),1429.2290891906234,0.06779168982398713
Merchant 8,15,Very Good (740-799),2352.829203285783,0.06779168982398713
